analyte,family,n_spectra,expected_motifs,primary_motif,expected_themes,top_component,top_component_share,n_active_components,predicted_motif,motif_rank,motif_top1,motif_top3,predicted_theme,theme_rank,theme_top1,theme_top3,theme_confidence,expected_theme_share,top_theme_share,nearest_analytes,labelled
palmitoleic acid,organic_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.4934,11,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.6467,0.3358,0.3358,"vaccenic acid, α-phosphatidylethanolamine, tri-11-eicosenoin",True
papain,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.2554,17,protein_amide_backbone,1,True,True,Flavin + Porphyrin,3,False,True,0.143,0.0978,0.1113,"triosephosphate isomerase, lactalbumin, pepsin",True
pepsin,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.2992,23,protein_amide_backbone,1,True,True,Acyl lipid,3,False,True,0.1775,0.103,0.1345,"elastase, trypsin, collagen",True
pepsinogen,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3572,19,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.1649,0.1284,0.1311,"thaumatin, lectin, carbonic anhydrase",True
phenylalanine,amino_acid,5,aromatic_ring_residue|amino_acid_zwitterion,aromatic_ring_residue,Aromatic residue|Free amino acid,6,0.4806,17,carotenoid_polyene,2,False,True,Carotenoid,2,False,True,0.3264,0.1485,0.2224,"ure, urea, β-carotene",True
phosphate,organic_acid,3,nucleic_backbone_phosphate|protein_amide_backbone,nucleic_backbone_phosphate,Monosaccharide + Phosphate|Protein backbone,14,0.5754,21,carboxylate_organic_acid,4,False,False,Organic acid,4,False,False,0.2079,0.0876,0.1569,"succinic acid, aspartic acid, amylose",True
phosphatidylinositol,lipid,3,nucleic_backbone_phosphate,nucleic_backbone_phosphate,Monosaccharide + Phosphate,19,0.1597,23,sulfur_heterocycle_thione,5,False,False,Purine,2,False,True,0.1697,0.0953,0.1116,"ethinylestradiol, (+)-galactose, hypoxanthine",True
phosphoenolpyruvate,organic_acid,4,nucleic_backbone_phosphate|carboxylate_organic_acid,nucleic_backbone_phosphate,Monosaccharide + Phosphate|Organic acid,23,0.4351,21,pyrimidine_ring,2,False,True,Pyrimidine,2,False,True,0.186,0.1452,0.1457,"pyruvate, cytosine, t-rna",True
proline,amino_acid,5,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,10,0.2767,19,amino_acid_zwitterion,1,True,True,Monosaccharide + Phosphate,2,False,True,0.2095,0.0918,0.1309,"(+)-arabinose, (-)-arabinose, n-acetylglucosamine",True
pyruvate,organic_acid,4,nucleic_backbone_phosphate|carboxylate_organic_acid,nucleic_backbone_phosphate,Monosaccharide + Phosphate|Organic acid,23,0.3377,17,carboxylate_organic_acid,1,True,True,Organic acid,1,True,True,0.1824,0.1418,0.1418,"phosphoenolpyruvate, malic acid, citrate",True
riboflavin,cofactor,3,flavin_redox_cofactor,flavin_redox_cofactor,Flavin + Porphyrin,0,0.3879,15,flavin_redox_cofactor,1,True,True,Flavin + Porphyrin,1,True,True,0.3623,0.2925,0.2925,"riboﬂavin, myoglobin, cytochrome c",True
riboﬂavin,cofactor,1,flavin_redox_cofactor,flavin_redox_cofactor,Flavin + Porphyrin,0,0.3869,15,flavin_redox_cofactor,1,True,True,Flavin + Porphyrin,1,True,True,0.3705,0.3069,0.3069,"riboflavin, myoglobin, cytochrome c",True
serine,amino_acid,5,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,11,0.4457,22,amino_acid_zwitterion,1,True,True,Free amino acid,1,True,True,0.2148,0.1099,0.1099,"hydroxyproline, alanine, (+)-arabinose",True
sphingomyelin,phospholipid,1,,,,1,0.3858,10,triglyceride_ester,99,False,False,Acyl lipid,99,False,False,0.6158,0.0,0.3805,"stearate, tripetroselinin, ceramide",False
stearate,lipid,5,fatty_acyl_chain|sterol_ring_system,sterol_ring_system,Acyl lipid|Sterol,1,0.3879,16,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.6643,0.4094,0.4094,"arachidic acid, palmitic acid, myristic acid",True
succinic acid,organic_acid,1,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,14,0.5197,8,carboxylate_organic_acid,1,True,True,Organic acid,1,True,True,0.233,0.1759,0.1759,"aspartic acid, phosphate, asparagine",True
superoxide dismutases,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.4294,21,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.1916,0.1401,0.1537,"ubiquitin, trypsin, trypsinogen",True
t-rna,nucleic_acid,1,purine_ring_breathing|pyrimidine_ring|nucleic_backbone_phosphate,purine_ring_breathing,Purine|Pyrimidine|Monosaccharide + Phosphate,17,0.2802,15,pyrimidine_ring,1,True,True,Pyrimidine,1,True,True,0.1954,0.1496,0.1496,"a-dna, b-dna, phosphoenolpyruvate",True
thaumatin,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3772,22,protein_amide_backbone,1,True,True,Protein backbone,1,True,True,0.1629,0.1283,0.1283,"pepsinogen, lectin, trypsinogen",True
thymine,pyrimidine,4,pyrimidine_ring,pyrimidine_ring,Pyrimidine,13,0.8585,9,porphyrin_macrocycle,2,False,True,Flavin + Porphyrin,2,False,True,0.3483,0.1879,0.2758,"hemoglobin, myoglobin, cytochrome c",True
tri-11-eicosenoin,unknown,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.5572,18,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.6315,0.3274,0.3274,"vaccenic acid, palmitoleic acid, tripalmitolein",True
triarachidin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,16,0.4931,7,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.839,0.492,0.492,"tribehenin, tristearin, trimyristin",True
tribehenin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,16,0.4991,8,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.8219,0.4865,0.4865,"triarachidin, tristearin, trimyristin",True
tricaprin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.4708,15,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.7416,0.421,0.421,"trilaurin, 14-methylpentadecanoic acid, 15-methylpalmiticacid",True
tricaproin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.5542,15,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.5302,0.2757,0.2757,"tricaprylin, oleate, triolein",True
tricaprylin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.5581,19,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.5307,0.2796,0.2796,"tricaproin, oleate, triolein",True
trielaidin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.494,7,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.6408,0.3824,0.3824,"sphingomyelin, trierucin, tripalmitin",True
trierucin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.5404,11,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.7957,0.4435,0.4435,"tripalmitin, tristearin, trimyristin",True
trilaurin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.4419,12,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.7866,0.4525,0.4525,"trimyristin, tripalmitin, tristearin",True
trilinolein,triglyceride,2,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.4232,16,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.6618,0.3631,0.3631,"palmitoleic acid, tri-11-eicosenoin, tripalmitolein",True
trilinolenin,triglyceride,2,triglyceride_ester,triglyceride_ester,Acyl lipid,7,0.4945,11,fatty_acyl_chain,2,False,True,Acyl lipid,1,True,True,0.5996,0.346,0.346,"trilinolein, linoleic acid, α-linolenic acid",True
trimyristin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,16,0.4589,9,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.8136,0.4712,0.4712,"tristearin, tribehenin, triarachidin",True
triolein,lipid,5,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.4818,18,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.5859,0.3034,0.3034,"oleate, palmitoleic acid, vaccenic acid",True
triosephosphate isomerase,protein,3,nucleic_backbone_phosphate|protein_amide_backbone,nucleic_backbone_phosphate,Monosaccharide + Phosphate|Protein backbone,2,0.2452,20,protein_amide_backbone,1,True,True,Acyl lipid,3,False,True,0.1805,0.0982,0.1357,"lactalbumin, glutathione transferase, pepsin",True
tripalmitin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,16,0.4708,16,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.787,0.4682,0.4682,"tristearin, trimyristin, trilaurin",True
tripalmitolein,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.6101,12,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.7264,0.3641,0.3641,"vaccenic acid, tri-11-eicosenoin, palmitoleic acid",True
tripetroselinin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,1,0.4403,10,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.7296,0.4287,0.4287,"tricaprin, arachidic acid, trilaurin",True
tristearin,triglyceride,1,triglyceride_ester,triglyceride_ester,Acyl lipid,16,0.4921,9,triglyceride_ester,1,True,True,Acyl lipid,1,True,True,0.8163,0.4845,0.4845,"trimyristin, tribehenin, triarachidin",True
trypsin,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.4029,24,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.1961,0.1227,0.1528,"trypsinogen, elastase, major proteinase",True
trypsin inhibitor,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3653,22,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.1914,0.1266,0.1437,"superoxide dismutases, elastin, ubiquitin",True
trypsinogen,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3702,23,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.1884,0.1172,0.1466,"trypsin, α-chymotrypsinogen a (type ii), elastase",True
tryptophan,amino_acid,5,aromatic_ring_residue,aromatic_ring_residue,Aromatic residue,22,0.3042,13,flavin_redox_cofactor,3,False,True,Flavin + Porphyrin,3,False,True,0.2659,0.0989,0.2095,"horseradish peroxidase, aspartate, isoleucine",True
tubulin,protein,1,protein_amide_backbone,protein_amide_backbone,Protein backbone,19,0.5342,13,sulfur_heterocycle_thione,4,False,False,Sulfur metabolite,6,False,False,0.2531,0.0386,0.1453,"ergothioneine, creatinine, cysteine",True
tyrosine,amino_acid,4,aromatic_ring_residue,aromatic_ring_residue,Aromatic residue,5,0.4954,14,aromatic_ring_residue,1,True,True,Aromatic residue,1,True,True,0.302,0.1969,0.1969,"phenylalanine, serine, hydroxyproline",True
ubiquitin,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.4189,18,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.2262,0.1399,0.1762,"elastin, superoxide dismutases, major proteinase",True
uracil,pyrimidine,4,pyrimidine_ring,pyrimidine_ring,Pyrimidine,17,0.8862,9,pyrimidine_ring,1,True,True,Pyrimidine,1,True,True,0.3477,0.3098,0.3098,"cytosine, t-rna, phosphoenolpyruvate",True
urate,purine,3,oxopurine_carbonyl,oxopurine_carbonyl,Purine,20,0.3413,11,nucleic_backbone_phosphate,5,False,False,Monosaccharide + Phosphate,2,False,True,0.2084,0.0916,0.1551,"malic acid, t-rna, histidine",True
ure,unknown,1,,,,6,0.7318,8,carotenoid_polyene,99,False,False,Carotenoid,99,False,False,0.4288,0.0,0.3117,"urea, phenylalanine, β-carotene",False
urea,small_nitrogenous,3,,,,6,0.7777,3,carotenoid_polyene,99,False,False,Carotenoid,99,False,False,0.4762,0.0,0.3692,"ure, phenylalanine, β-carotene",False
vaccenic acid,organic_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.5222,12,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.6563,0.3366,0.3366,"palmitoleic acid, tri-11-eicosenoin, α-phosphatidylethanolamine",True
valine,amino_acid,5,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,12,0.3365,18,carotenoid_polyene,4,False,False,Acyl lipid,5,False,False,0.1375,0.0687,0.1053,"isoleucine, leucine, galactose",True
xanthine,purine,3,purine_ring_breathing|oxopurine_carbonyl,oxopurine_carbonyl,Purine,15,0.5816,10,oxopurine_carbonyl,1,True,True,Purine,1,True,True,0.4532,0.3378,0.3378,"guanine, cysteine, creatinine",True
xylanase,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,18,0.449,18,polysaccharide_glycosidic,2,False,True,Polysaccharide,2,False,True,0.2492,0.1104,0.1839,"amylopectin, amylose, chitin",True
α-chymotrypsinogen a (type ii),protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3489,18,protein_amide_backbone,1,True,True,Acyl lipid,3,False,True,0.1945,0.112,0.1535,"elastase, trypsinogen, lactalbumin",True
α-linolenic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,7,0.4622,11,fatty_acyl_chain,1,True,True,Acyl lipid,1,True,True,0.5254,0.3215,0.3215,"linoleic acid, trilinolenin, arachidonic acid",True
α-phosphatidylcholine,unknown,1,nucleic_backbone_phosphate,nucleic_backbone_phosphate,Monosaccharide + Phosphate,1,0.4844,12,triglyceride_ester,8,False,False,Acyl lipid,2,False,True,0.5701,0.0468,0.3181,"tri-11-eicosenoin, α-phosphatidylethanolamine, palmitoleic acid",True
α-phosphatidylethanolamine,unknown,1,nucleic_backbone_phosphate,nucleic_backbone_phosphate,Monosaccharide + Phosphate,1,0.4713,16,triglyceride_ester,7,False,False,Acyl lipid,2,False,True,0.6126,0.0391,0.3347,"vaccenic acid, palmitoleic acid, tri-11-eicosenoin",True
β-carotene,carotenoid,1,carotenoid_polyene,carotenoid_polyene,Carotenoid,18,0.2463,11,carotenoid_polyene,1,True,True,Carotenoid,1,True,True,0.191,0.147,0.147,"carotene, (+)-trehalose, valine",True
β-d-glucose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,12,0.5,9,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2366,0.1972,0.1972,"(+)-dextrose, glucose, (+)-glucose",True
