spectrum_id,group,nearest_references,similarities
covid_serum_raman::COVID::147,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8531, 0.8442, 0.8381, 0.8012, 0.7912]"
covid_serum_raman::COVID::148,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8501, 0.8447, 0.8345, 0.8036, 0.7959]"
covid_serum_raman::COVID::149,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8433, 0.8426, 0.8295, 0.8008, 0.7934]"
covid_serum_raman::COVID::150,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8445, 0.8305, 0.8152, 0.7916, 0.7825]"
covid_serum_raman::COVID::151,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8471, 0.833, 0.8223, 0.7892, 0.7854]"
covid_serum_raman::COVID::152,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8444, 0.827, 0.8129, 0.7927, 0.7853]"
covid_serum_raman::COVID::153,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8419, 0.8115, 0.7927, 0.7909, 0.7893]"
covid_serum_raman::COVID::154,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8454, 0.8369, 0.8341, 0.7882, 0.7823]"
covid_serum_raman::COVID::155,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8453, 0.8234, 0.8071, 0.7926, 0.7868]"
covid_serum_raman::COVID::156,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8483, 0.8454, 0.8294, 0.8061, 0.7994]"
covid_serum_raman::COVID::157,COVID,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8588, 0.8441, 0.8419, 0.8035, 0.7971]"
covid_serum_raman::COVID::158,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8465, 0.8284, 0.8065, 0.803, 0.7994]"
covid_serum_raman::Suspected::000,Suspected,"['albumin', 'alb', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8513, 0.8502, 0.8494, 0.8015, 0.7966]"
covid_serum_raman::Suspected::001,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl palmitate']","[0.8475, 0.8102, 0.8029, 0.7969, 0.7834]"
covid_serum_raman::Suspected::002,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8477, 0.8278, 0.8054, 0.8005, 0.7932]"
covid_serum_raman::Suspected::003,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8393, 0.8251, 0.8161, 0.7874, 0.7822]"
covid_serum_raman::Suspected::004,Suspected,"['alb', 'cholesterol', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8474, 0.8403, 0.8395, 0.7883, 0.7842]"
covid_serum_raman::Suspected::005,Suspected,"['alb', 'albumin', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8513, 0.8466, 0.8363, 0.7926, 0.7871]"
covid_serum_raman::Suspected::006,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.845, 0.8404, 0.8199, 0.8017, 0.7972]"
covid_serum_raman::Suspected::007,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl palmitate']","[0.8455, 0.8169, 0.804, 0.7997, 0.7844]"
covid_serum_raman::Suspected::008,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8467, 0.8459, 0.8251, 0.803, 0.7984]"
covid_serum_raman::Suspected::009,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8444, 0.8298, 0.81, 0.8054, 0.7999]"
covid_serum_raman::Suspected::010,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8427, 0.8427, 0.8299, 0.803, 0.7965]"
covid_serum_raman::Suspected::011,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.844, 0.8428, 0.8345, 0.8056, 0.7998]"
covid_serum_raman::Suspected::012,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8373, 0.8314, 0.8275, 0.7894, 0.7845]"
covid_serum_raman::Suspected::013,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.837, 0.8349, 0.8262, 0.7916, 0.7871]"
covid_serum_raman::Suspected::014,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.839, 0.8274, 0.8237, 0.7896, 0.7795]"
covid_serum_raman::Suspected::015,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8548, 0.8467, 0.8378, 0.8031, 0.7971]"
covid_serum_raman::Suspected::016,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8509, 0.8388, 0.8361, 0.8018, 0.7964]"
covid_serum_raman::Suspected::017,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8485, 0.8417, 0.8306, 0.8058, 0.8007]"
covid_serum_raman::Suspected::018,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8427, 0.8256, 0.8027, 0.7942, 0.7934]"
covid_serum_raman::Suspected::019,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8427, 0.824, 0.8038, 0.7941, 0.7878]"
covid_serum_raman::Suspected::020,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.845, 0.8324, 0.8279, 0.7959, 0.7803]"
covid_serum_raman::Suspected::021,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8457, 0.8443, 0.8294, 0.8033, 0.7938]"
covid_serum_raman::Suspected::022,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8431, 0.835, 0.8175, 0.8003, 0.7935]"
covid_serum_raman::Suspected::023,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8503, 0.8436, 0.8408, 0.7993, 0.7963]"
covid_serum_raman::Suspected::024,Suspected,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8529, 0.8358, 0.8151, 0.7844, 0.7599]"
covid_serum_raman::Suspected::025,Suspected,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8454, 0.8196, 0.8165, 0.7818, 0.7712]"
covid_serum_raman::Suspected::026,Suspected,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', 'ferritin']","[0.8581, 0.8249, 0.8189, 0.7803, 0.78]"
covid_serum_raman::Suspected::027,Suspected,"['albumin', 'alb', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8661, 0.8538, 0.8385, 0.8081, 0.7994]"
covid_serum_raman::Suspected::028,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8507, 0.8449, 0.8216, 0.8156, 0.8121]"
covid_serum_raman::Suspected::029,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8468, 0.8441, 0.816, 0.8124, 0.8116]"
covid_serum_raman::Suspected::030,Suspected,"['albumin', 'alb', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8611, 0.8558, 0.8382, 0.8048, 0.7949]"
covid_serum_raman::Suspected::031,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8485, 0.8437, 0.8378, 0.7973, 0.7957]"
covid_serum_raman::Suspected::032,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8455, 0.8441, 0.8281, 0.8028, 0.7964]"
covid_serum_raman::Suspected::033,Suspected,"['cholesterol', 'alb', 'ferritin', 'albumin', 'isoleucine']","[0.8433, 0.807, 0.7733, 0.7713, 0.7533]"
covid_serum_raman::Suspected::034,Suspected,"['cholesterol', 'alb', 'albumin', 'ferritin', 'isoleucine']","[0.8448, 0.792, 0.7844, 0.7751, 0.7541]"
covid_serum_raman::Suspected::035,Suspected,"['cholesterol', 'alb', 'albumin', 'ferritin', 'isoleucine']","[0.842, 0.8023, 0.7788, 0.7768, 0.7532]"
covid_serum_raman::Suspected::036,Suspected,"['albumin', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8529, 0.8527, 0.8279, 0.8228, 0.8221]"
covid_serum_raman::Suspected::037,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8539, 0.8533, 0.829, 0.8233, 0.822]"
covid_serum_raman::Suspected::038,Suspected,"['albumin', 'cholesterol', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8571, 0.8554, 0.8307, 0.8267, 0.8232]"
covid_serum_raman::Suspected::039,Suspected,"['albumin', 'alb', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8594, 0.8556, 0.8476, 0.8052, 0.7953]"
covid_serum_raman::Suspected::040,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl palmitate']","[0.8475, 0.8237, 0.81, 0.8076, 0.7909]"
covid_serum_raman::Suspected::041,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', 'ferritin']","[0.8558, 0.8475, 0.8449, 0.802, 0.7972]"
covid_serum_raman::Suspected::042,Suspected,"['alb', 'albumin', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8661, 0.8577, 0.8421, 0.7982, 0.7886]"
covid_serum_raman::Suspected::043,Suspected,"['alb', 'albumin', 'cholesterol', 'cholesteryl stearate', 'ferritin']","[0.8582, 0.8558, 0.8395, 0.7948, 0.7926]"
covid_serum_raman::Suspected::044,Suspected,"['alb', 'albumin', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8739, 0.8673, 0.8435, 0.7986, 0.7975]"
covid_serum_raman::Suspected::045,Suspected,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8368, 0.8102, 0.8066, 0.7906, 0.7513]"
covid_serum_raman::Suspected::046,Suspected,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8422, 0.8209, 0.8134, 0.7934, 0.7549]"
covid_serum_raman::Suspected::047,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8422, 0.801, 0.7997, 0.7832, 0.7578]"
covid_serum_raman::Suspected::048,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8521, 0.8502, 0.8378, 0.8208, 0.8151]"
covid_serum_raman::Suspected::049,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8588, 0.8496, 0.8484, 0.8185, 0.811]"
covid_serum_raman::Suspected::050,Suspected,"['alb', 'albumin', 'cholesterol', 'cholesteryl stearate', 'cholesteryl oleate']","[0.872, 0.8646, 0.8477, 0.8073, 0.7989]"
covid_serum_raman::Suspected::051,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8458, 0.8439, 0.8265, 0.8109, 0.8101]"
covid_serum_raman::Suspected::052,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8555, 0.8506, 0.8396, 0.8032, 0.7992]"
covid_serum_raman::Suspected::053,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8467, 0.8357, 0.8129, 0.8121, 0.8104]"
covid_serum_raman::Suspected::054,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', 'ferritin']","[0.861, 0.8596, 0.8429, 0.7984, 0.7962]"
covid_serum_raman::Suspected::055,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8546, 0.8483, 0.8446, 0.8043, 0.794]"
covid_serum_raman::Suspected::056,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.854, 0.8448, 0.8443, 0.8057, 0.799]"
covid_serum_raman::Suspected::057,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8532, 0.8216, 0.8113, 0.7911, 0.779]"
covid_serum_raman::Suspected::058,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8476, 0.8253, 0.8195, 0.7881, 0.7795]"
covid_serum_raman::Suspected::059,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8526, 0.8237, 0.8157, 0.7911, 0.78]"
covid_serum_raman::Suspected::060,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', 'ferritin']","[0.8646, 0.8594, 0.8437, 0.8015, 0.7995]"
covid_serum_raman::Suspected::061,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl palmitate']","[0.8486, 0.8238, 0.8126, 0.8111, 0.7943]"
covid_serum_raman::Suspected::062,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.855, 0.8465, 0.8375, 0.8134, 0.8082]"
covid_serum_raman::Suspected::063,Suspected,"['alb', 'cholesterol', 'albumin', 'cholesteryl stearate', 'arginine']","[0.8544, 0.8416, 0.8313, 0.7775, 0.7733]"
covid_serum_raman::Suspected::064,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'cholesteryl stearate']","[0.8409, 0.8284, 0.8167, 0.7813, 0.7806]"
covid_serum_raman::Suspected::065,Suspected,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', 'arginine']","[0.8404, 0.8326, 0.8241, 0.7854, 0.7798]"
covid_serum_raman::Suspected::066,Suspected,"['albumin', 'cholesterol', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8521, 0.8363, 0.8347, 0.7981, 0.7955]"
covid_serum_raman::Suspected::067,Suspected,"['albumin', 'alb', 'cholesterol', 'ferritin', 'cholesteryl stearate']","[0.8549, 0.8417, 0.8375, 0.7968, 0.796]"
covid_serum_raman::Suspected::068,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', 'ferritin']","[0.8557, 0.8428, 0.8388, 0.7986, 0.7966]"
covid_serum_raman::Suspected::069,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'arginine']","[0.8558, 0.7974, 0.7862, 0.7808, 0.7748]"
covid_serum_raman::Suspected::070,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'ferritin']","[0.843, 0.8089, 0.7969, 0.7734, 0.7604]"
covid_serum_raman::Suspected::071,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'ferritin']","[0.8444, 0.8105, 0.8034, 0.7704, 0.7652]"
covid_serum_raman::Suspected::072,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8483, 0.836, 0.8223, 0.7912, 0.7876]"
covid_serum_raman::Suspected::073,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8453, 0.834, 0.8209, 0.7898, 0.788]"
covid_serum_raman::Suspected::074,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8468, 0.831, 0.8127, 0.7902, 0.7865]"
covid_serum_raman::Suspected::075,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8511, 0.8408, 0.824, 0.8228, 0.816]"
covid_serum_raman::Suspected::076,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.853, 0.8505, 0.8353, 0.8212, 0.8172]"
covid_serum_raman::Suspected::077,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8516, 0.8493, 0.8405, 0.8163, 0.8111]"
covid_serum_raman::Suspected::078,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8405, 0.8306, 0.8261, 0.7924, 0.7774]"
covid_serum_raman::Suspected::079,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8421, 0.8301, 0.8236, 0.7922, 0.7787]"
covid_serum_raman::Suspected::080,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8393, 0.8271, 0.8237, 0.7898, 0.7733]"
covid_serum_raman::Suspected::081,Suspected,"['cholesterol', 'albumin', 'ferritin', 'alb', 'cholesteryl stearate']","[0.8433, 0.8268, 0.8126, 0.7935, 0.779]"
covid_serum_raman::Suspected::082,Suspected,"['cholesterol', 'albumin', 'ferritin', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8481, 0.8238, 0.7994, 0.7979, 0.7912]"
covid_serum_raman::Suspected::083,Suspected,"['cholesterol', 'albumin', 'ferritin', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8464, 0.8237, 0.7982, 0.7943, 0.7897]"
covid_serum_raman::Suspected::084,Suspected,"['cholesterol', 'histidine', 'ethinylestradiol', 'hypoxanthine', 'albumin']","[0.8363, 0.7523, 0.7361, 0.7276, 0.7127]"
covid_serum_raman::Suspected::085,Suspected,"['cholesterol', 'histidine', 'ethinylestradiol', 'isoleucine', 'hypoxanthine']","[0.8479, 0.7587, 0.7352, 0.7207, 0.7123]"
covid_serum_raman::Suspected::086,Suspected,"['cholesterol', 'histidine', 'ethinylestradiol', 'isoleucine', 'hypoxanthine']","[0.8432, 0.7571, 0.7319, 0.7204, 0.7104]"
covid_serum_raman::Suspected::087,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8512, 0.8085, 0.7922, 0.7799, 0.7786]"
covid_serum_raman::Suspected::088,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.851, 0.8159, 0.7993, 0.7861, 0.7822]"
covid_serum_raman::Suspected::089,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8522, 0.8135, 0.7969, 0.7844, 0.7811]"
covid_serum_raman::Suspected::090,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8497, 0.8401, 0.823, 0.8113, 0.8049]"
covid_serum_raman::Suspected::091,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8505, 0.8459, 0.8268, 0.8161, 0.8109]"
covid_serum_raman::Suspected::092,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8502, 0.8478, 0.8368, 0.8108, 0.8052]"
covid_serum_raman::Suspected::093,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8581, 0.8501, 0.8337, 0.8245, 0.8206]"
covid_serum_raman::Suspected::094,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8579, 0.8499, 0.8351, 0.8251, 0.8209]"
covid_serum_raman::Suspected::095,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8558, 0.8502, 0.8312, 0.8237, 0.8197]"
covid_serum_raman::Suspected::096,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8561, 0.8433, 0.8193, 0.8094, 0.8069]"
covid_serum_raman::Suspected::097,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8561, 0.8418, 0.8219, 0.8101, 0.8074]"
covid_serum_raman::Suspected::098,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8584, 0.8412, 0.8285, 0.8085, 0.8062]"
covid_serum_raman::Suspected::099,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', 'arginine']","[0.8495, 0.7933, 0.7808, 0.7795, 0.7787]"
covid_serum_raman::Suspected::100,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'arginine']","[0.8514, 0.8033, 0.8014, 0.7796, 0.7776]"
covid_serum_raman::Suspected::101,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'cholesteryl stearate']","[0.8461, 0.7985, 0.7927, 0.7787, 0.7633]"
covid_serum_raman::Suspected::102,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8545, 0.85, 0.8418, 0.8117, 0.8037]"
covid_serum_raman::Suspected::103,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8488, 0.8476, 0.8417, 0.8058, 0.7979]"
covid_serum_raman::Suspected::104,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8495, 0.8389, 0.822, 0.8115, 0.8067]"
covid_serum_raman::Suspected::105,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8591, 0.8309, 0.812, 0.8004, 0.7932]"
covid_serum_raman::Suspected::106,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8571, 0.835, 0.8201, 0.7994, 0.7926]"
covid_serum_raman::Suspected::107,Suspected,"['cholesterol', 'albumin', 'alb', 'ferritin', 'cholesteryl stearate']","[0.8607, 0.8324, 0.8256, 0.7983, 0.7844]"
covid_serum_raman::Suspected::108,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'ferritin']","[0.8456, 0.8385, 0.8148, 0.7803, 0.7623]"
covid_serum_raman::Suspected::109,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'cholesteryl stearate']","[0.8455, 0.8374, 0.818, 0.7773, 0.7697]"
covid_serum_raman::Suspected::110,Suspected,"['cholesterol', 'alb', 'albumin', 'arginine', 'cholesteryl stearate']","[0.8471, 0.843, 0.8238, 0.7745, 0.7711]"
covid_serum_raman::Suspected::111,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8507, 0.8507, 0.8294, 0.8195, 0.8137]"
covid_serum_raman::Suspected::112,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8541, 0.8434, 0.8218, 0.8209, 0.8143]"
covid_serum_raman::Suspected::113,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8515, 0.8493, 0.8278, 0.8224, 0.8177]"
covid_serum_raman::Suspected::114,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.856, 0.8441, 0.8307, 0.8093, 0.7986]"
covid_serum_raman::Suspected::115,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8556, 0.8277, 0.8185, 0.8014, 0.7903]"
covid_serum_raman::Suspected::116,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8542, 0.8483, 0.8372, 0.8081, 0.7984]"
covid_serum_raman::Suspected::117,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8539, 0.8163, 0.8022, 0.7882, 0.7783]"
covid_serum_raman::Suspected::118,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8554, 0.8137, 0.8069, 0.7847, 0.7773]"
covid_serum_raman::Suspected::119,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.858, 0.815, 0.8092, 0.7829, 0.7824]"
covid_serum_raman::Suspected::120,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8494, 0.8437, 0.823, 0.82, 0.8153]"
covid_serum_raman::Suspected::121,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8517, 0.8483, 0.8295, 0.818, 0.8128]"
covid_serum_raman::Suspected::122,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8548, 0.8481, 0.8343, 0.8171, 0.812]"
covid_serum_raman::Suspected::123,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8564, 0.8474, 0.8359, 0.8086, 0.7948]"
covid_serum_raman::Suspected::124,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.852, 0.8501, 0.8288, 0.8139, 0.8051]"
covid_serum_raman::Suspected::125,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8489, 0.8433, 0.8244, 0.8084, 0.7997]"
covid_serum_raman::Suspected::126,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8551, 0.8499, 0.8334, 0.8294, 0.8172]"
covid_serum_raman::Suspected::127,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8531, 0.845, 0.8351, 0.8339, 0.8172]"
covid_serum_raman::Suspected::128,Suspected,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8557, 0.8402, 0.8384, 0.8368, 0.8214]"
covid_serum_raman::Suspected::129,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8519, 0.8456, 0.8342, 0.8001, 0.7905]"
covid_serum_raman::Suspected::130,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8572, 0.8428, 0.8221, 0.8144, 0.8045]"
covid_serum_raman::Suspected::131,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8588, 0.8453, 0.8342, 0.8039, 0.7912]"
covid_serum_raman::Suspected::132,Suspected,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8506, 0.8475, 0.8401, 0.8126, 0.8091]"
covid_serum_raman::Suspected::133,Suspected,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8578, 0.8518, 0.8439, 0.8099, 0.8068]"
covid_serum_raman::Suspected::134,Suspected,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8507, 0.8383, 0.8181, 0.8175, 0.8168]"
covid_serum_raman::Suspected::135,Suspected,"['cholesterol', 'alb', 'albumin', 'isoleucine', 'ferritin']","[0.8521, 0.7851, 0.7545, 0.7534, 0.7501]"
