canonical_analyte_name,chemical_class,biochemical_family,reference_dataset,reference_modality,substrate,excitation_nm,number_of_measured_spectra,is_pure_analyte,is_literature_only,is_digitized_spectrum,dominant_legacy_axis,mapped_gaira_axes,mapping_confidence,evidence_tier,source_path,notes
cholesteryl palmitate,Lipids/Sterols,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
cholesteryl stearate,Lipids/Sterols,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
elaidic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
linoleic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
myristic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
oleic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
palmitic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-α-phosphatidylcholine,Lipids/Phospholipids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-α-phosphatidylethanolamine,Lipids/Phospholipids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
palmitoleic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
stearic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
sphingomyelin,Lipids/Phospholipids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
triarachidin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tribehenin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tricaproin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tricaprin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tricaprylin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trielaidin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tri-11-eicosenoin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trierucin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trilinolein,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trilinolenin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trilaurin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trimyristin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
triolein,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tripalmitin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tripetroselinin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tripalmitolein,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
tristearin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal ring,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lactalbumin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lactalbumin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lactalbumin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
albumin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
albumin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
albumin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
carbonic anhydrase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
carbonic anhydrase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
carbonic anhydrase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
collagen,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
collagen,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
collagen,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
α-chymotrypsinogen a (type ii),Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
α-chymotrypsinogen a (type ii),Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
α-chymotrypsinogen a (type ii),Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
elastase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
elastase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
elastase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
ferritin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
ferritin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
ferritin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
glutathione transferase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
glutathione transferase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
horseradish peroxidase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
horseradish peroxidase,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
hemoglobin,Proteins/Hemeproteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
hemoglobin,Proteins/Hemeproteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lectin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lectin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lectin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
myoglobin,Proteins/Hemeproteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
myoglobin,Proteins/Hemeproteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
papain,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
papain,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
papain,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
pepsin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
pepsin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
pepsin,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),SERS(likely),Metal rings,1064.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
pepsinogen,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,488.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
pepsinogen,Proteins,Proteins,RamanBioLib(grounding_molecule_bsv),Raman,Glass microscope slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
