dataset_id,base_dataset_id,dedup_group_id,variant_type,dataset_name,source,application_type,task_type,modality,experimental_vs_computational,sample_type,biological_matrix,analyte_type,n_spectra,wavenumber_range_min,wavenumber_range_max,axis_uniformity,preprocessing_status,preprocessing_notes,paper_or_doi,source_url,license,download_requirements,full_name,description_excerpt,contains_cohort_labels,contains_disease_labels,contains_computed_spectra,mixed_modality,missing_metadata
diabetes_skin_vein,diabetes_skin,DG014,anatomical_position,Diabetes Skin (Vein),Kaggle,Medical,Classification,Raman,Experimental,pure_compound,skin,unknown,,800,1800,unknown,normalized,baseline_corrected;area_norm,https://doi.org/10.1364/BOE.9.004998,https://www.kaggle.com/datasets/codina/raman-spectroscopy-of-diabetes,Optica OAPA,kaggle,codina_raman-spectroscopy-of-diabetes,"In vivo portable Raman spectra of human skin at the Vein site for DM2 screening. 11 type 2 diabetes patients (7F, 49.5±6.7 y) and 9 healthy controls (7F, 33.2±4.9 y), University of Guanajuato, Mexico, IRB approved. PEK-785 spectrometer (Agi",yes,yes,no,no,no
illicit_adulterants_ft_raman,illicit_adulterants,DG024,modality,Illicit Adulterants in Dietary Supplements (FT-Raman),Mendeley,Medical,Classification,Mixed:FT-Raman+SERS,Experimental,pure_compound,n/a,small_molecule_drug,,50,3600,unknown,unknown,,https://doi.org/10.1016/j.heliyon.2023.e18509,https://data.mendeley.com/datasets/y4md8znppn/1,CC BY 4.0,none,Dataset of Raman and SERS spectra of illicit adulterants added to dietary supplements,"FT-Raman reference spectra (1064 nm, 50–3600 cm⁻¹, 4 cm⁻¹ resolution, 32 scans) of 11 SERS-active pharmaceutically active adulterants found in dietary supplements, acquired with a benchtop Bruker RAM II FT-IR Raman module (OPUS v7.2, 300 mW",no,no,no,yes,no
illicit_adulterants_sers,illicit_adulterants,DG024,modality,Illicit Adulterants in Dietary Supplements (SERS),Mendeley,Medical,Classification,SERS,Experimental,pure_compound,n/a,small_molecule_drug,,400,2300,unknown,unknown,,https://doi.org/10.1016/j.heliyon.2023.e18509,https://data.mendeley.com/datasets/y4md8znppn/1,CC BY 4.0,none,Dataset of Raman and SERS spectra of illicit adulterants added to dietary supplements,"Portable SERS spectra (785 nm, 400–2300 cm⁻¹, 8 cm⁻¹ FWHM, 3 scans) of 11 SERS-active illicit adulterants in dietary supplements. Acquired with a Metrohm Instant SERS analyzer (MISA) using silver printed-SERS (p-SERS) substrates and Orbital",no,no,no,no,no
microplastics_weathered,microplastics_weathered,DG028,none,Weathered Microplastics,Mendeley,MaterialScience,Classification,Raman,Experimental,material,polymer,polymer_or_pigment,,200,3500,unknown,unknown,,https://doi.org/10.1016/j.scitotenv.2020.139990,https://data.mendeley.com/datasets/kpygrf9fg6,CC BY 4.0,none,Weathered Microplastics Dataset,"Raman spectra of field-collected weathered microplastic debris (155 samples) and unweathered standard plastics (18 samples), acquired from sediments near waste plastics recycling industries in Laizhou City, Shandong Province, China (August ",no,no,no,no,no
bacteria_identification,bacteria_identification,DG004,none,Pathogenic Bacteria,Misc,Medical,Classification,SERS,Experimental,unknown,bacteria,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1038/s41467-019-12898-9,https://github.com/csho33/bacteria-ID,MIT,none,Pathogenic Bacteria Raman Dataset,"60,000 SERS spectra (2,000 per isolate across three measurement time-points) from 30 clinically relevant bacterial and yeast isolates, including an MRSA/MSSA isogenic pair. Acquired on a Horiba LabRAM HR Evolution spectrometer (633 nm, 13.1",yes,no,no,no,no
covid19_serum,covid19_serum,DG012,none,COVID-19 Human Serum,Misc,Medical,Classification,Raman,Experimental,biofluid,serum,unknown,,400,1800,unknown,normalized,baseline_corrected;area_norm,https://doi.org/10.1007/s10103-021-03488-7,Only via E-Mail,unknown,none,COVID-19 in human serum using Raman spectroscopy,Raman spectra of blood serum from 20 subjects (10 RT-PCR/ELISA-confirmed COVID-19 patients and 10 healthy controls) collected under Ethics Committee protocol 26691419.6.0000.5492 (Universidade Anhembi Morumbi). Acquired with a Dimension P1 ,yes,yes,no,no,no
deepr_denoising,deepr,DG013,task,DeepeR Denoising,Misc,Unknown,Denoising,Raman,Experimental,unknown,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.analchem.1c02178,https://emckclac-my.sharepoint.com/:f:/g/personal/k1919691_kcl_ac_uk/EqZaY-_FrGdImybIGuMCvb8Bo_YD1Bc9ATBxbLxdDIv0RA?e=5%3aHhLp91&fromShare=true&at=9,MIT,none,DeepeR Denoising Dataset,Raman spectral denoising dataset from DeepeR paper. Contains noisy input spectra and corresponding denoised target spectra for training deep learning denoising models.,no,no,no,no,no
deepr_super_resolution,deepr,DG013,task,DeepeR Super-Resolution Dataset,Misc,Unknown,SuperResolution,Raman,Experimental,unknown,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.analchem.1c02178,https://emckclac-my.sharepoint.com/:f:/g/personal/k1919691_kcl_ac_uk/EuIIZkQGtT5NgQcYO_SOzigB706Q8b0EddSLEDGUN22EbA?e=5%3axGyu4b&fromShare=true&at=9,MIT,none,DeepeR Super-Resolution Dataset,Hyperspectral super-resolution dataset from DeepeR paper. Contains low-resolution input spectra and high-resolution target spectra for training super-resolution models.,no,no,no,no,no
mlrod,mlrod,DG029,none,ML Raman Open Dataset (MLROD),Misc,MaterialScience,Classification,Raman,Experimental,pure_compound,mineral,mineral,,100,1800,unknown,baseline_corrected,baseline_corrected,https://doi.org/10.1029/2021EA002125,https://www.odr.io/dataset/mlrod-a-machine-learning-raman-open-dataset,BY-NC,none,ML Raman Open Dataset (MLROD),"500,000+ point-mapping Raman spectra of Mars-analogue geological samples acquired on a Horiba LabRAM HR Evolution (532 nm, 100 mW, 1800 l/mm grating, ~1 cm⁻¹ resolution, open-electrode CCD at −60 °C, 50× LWD NA 0.5 objective, 0.1 µm XY step",no,no,no,no,no
synthetic_organic_pigments_baseline_corrected,synthetic_organic_pigments,DG041,preprocessing,Synthetic Organic Pigments (Baseline Corrected),Misc,MaterialScience,Regression,Raman,Experimental,pure_compound,n/a,polymer_or_pigment,,unknown,unknown,unknown,baseline_corrected,baseline_corrected,https://doi.org/10.1002/jrs.4054,https://kikirpa-my.sharepoint.com/:u:/g/personal/wim_fremout_kikirpa_be/ES5_J9PpBatLvbTe6VlFyIoBc6fFRli0YHl2qjnLxn6I8Q?download=1,research use only,none,Synthetic Organic Pigments Raman Spectral Library - Baseline Corrected,"Baseline Corrected Raman spectral library of approximately 270 synthetic organic pigments (~300 reference spectra, nearly 400 samples total) compiled at the Royal Institute for Cultural Heritage (KIK/IRPA), Brussels. Acquired on a Renishaw ",no,no,no,no,no
synthetic_organic_pigments_raw,synthetic_organic_pigments,DG041,preprocessing,Synthetic Organic Pigments (Raw),Misc,MaterialScience,Regression,Raman,Experimental,pure_compound,n/a,polymer_or_pigment,,unknown,unknown,unknown,baseline_corrected,baseline_corrected,https://doi.org/10.1002/jrs.4054,https://kikirpa-my.sharepoint.com/:u:/g/personal/wim_fremout_kikirpa_be/ES5_J9PpBatLvbTe6VlFyIoBc6fFRli0YHl2qjnLxn6I8Q?download=1,research use only,none,Synthetic Organic Pigments Raman Spectral Library - Raw,"Raw Raman spectral library of approximately 270 synthetic organic pigments (~300 reference spectra, nearly 400 samples total) compiled at the Royal Institute for Cultural Heritage (KIK/IRPA), Brussels. Acquired on a Renishaw inVia dispersiv",no,no,no,no,no
acetic_acid_species,rwth_acid_species,DG035,acid_species,Acetic Concentration,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1177/0003702820973275 | https://publications.rwth-aachen.de/record/978266,https://publications.rwth-aachen.de/record/978266/files/Data_RWTH-2024-01177.zip,CC0 1.0,none,Inline Raman Spectroscopy and Indirect Hard Modeling for Concentration Monitoring of Dissociated Acid Species,"Raman spectra and composition data for titration experiments of various acids in aqueous solution. Includes acetic, citric, formic, itaconic, levulinic, oxalic, and succinic acids. Data for concentration monitoring and indirect hard modelin",no,no,no,no,no
citric_acid_species,rwth_acid_species,DG035,acid_species,Citric Concentration,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1177/0003702820973275 | https://publications.rwth-aachen.de/record/978266,https://publications.rwth-aachen.de/record/978266/files/Data_RWTH-2024-01177.zip,CC0 1.0,none,Inline Raman Spectroscopy and Indirect Hard Modeling for Concentration Monitoring of Dissociated Acid Species,"Raman spectra and composition data for titration experiments of various acids in aqueous solution. Includes acetic, citric, formic, itaconic, levulinic, oxalic, and succinic acids. Data for concentration monitoring and indirect hard modelin",no,no,no,no,no
flow_microgel_synthesis,flow_microgel_synthesis,DG018,none,Microgel Synthesis in Flow,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,cell,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.cej.2023.147567 | https://doi.org/10.18154/RWTH-2023-05551,https://publications.rwth-aachen.de/record/959050/files/Raman_Spectroscopy_Measurements.zip?version=1,CC BY 4.0,none,Data-driven product-process optimization of N-isopropylacrylamide microgel flow-synthesis,This data set contains in-line Raman spectroscopy measurements and predicted microgel sizes from Dynamic Light Scattering (DLS).The Raman spectroscopy measurements were conducted inside a customized measurement cell for monitoring in a tubu,no,no,no,no,no
formic_acid_species,rwth_acid_species,DG035,acid_species,Formic Concentration,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1177/0003702820973275 | https://publications.rwth-aachen.de/record/978266,https://publications.rwth-aachen.de/record/978266/files/Data_RWTH-2024-01177.zip,CC0 1.0,none,Inline Raman Spectroscopy and Indirect Hard Modeling for Concentration Monitoring of Dissociated Acid Species,"Raman spectra and composition data for titration experiments of various acids in aqueous solution. Includes acetic, citric, formic, itaconic, levulinic, oxalic, and succinic acids. Data for concentration monitoring and indirect hard modelin",no,no,no,no,no
itaconic_acid_species,rwth_acid_species,DG035,acid_species,Itaconic Concentration,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1177/0003702820973275 | https://publications.rwth-aachen.de/record/978266,https://publications.rwth-aachen.de/record/978266/files/Data_RWTH-2024-01177.zip,CC0 1.0,none,Inline Raman Spectroscopy and Indirect Hard Modeling for Concentration Monitoring of Dissociated Acid Species,"Raman spectra and composition data for titration experiments of various acids in aqueous solution. Includes acetic, citric, formic, itaconic, levulinic, oxalic, and succinic acids. Data for concentration monitoring and indirect hard modelin",no,no,no,no,no
levulinic_acid_species,rwth_acid_species,DG035,acid_species,Levulinic Concentration,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1177/0003702820973275 | https://publications.rwth-aachen.de/record/978266,https://publications.rwth-aachen.de/record/978266/files/Data_RWTH-2024-01177.zip,CC0 1.0,none,Inline Raman Spectroscopy and Indirect Hard Modeling for Concentration Monitoring of Dissociated Acid Species,"Raman spectra and composition data for titration experiments of various acids in aqueous solution. Includes acetic, citric, formic, itaconic, levulinic, oxalic, and succinic acids. Data for concentration monitoring and indirect hard modelin",no,no,no,no,no
microgel_size_lf_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (Linear Fit, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: Linear Fit, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_lf_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (Linear Fit, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: Linear Fit, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_mm_lf_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (MinMax + Linear Fit, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,normalized,minmax,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: MinMax + Linear Fit, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_mm_lf_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (MinMax + Linear Fit, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,normalized,minmax,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: MinMax + Linear Fit, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_mm_rb_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (MinMax + Rubber Band, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,normalized,baseline_corrected;minmax,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: MinMax + Rubber Band, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_mm_rb_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (MinMax + Rubber Band, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,normalized,baseline_corrected;minmax,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: MinMax + Rubber Band, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_raw_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (Raw, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,raw,,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: Raw, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_raw_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (Raw, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,raw,,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: Raw, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_rb_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (Rubber Band, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,baseline_corrected,baseline_corrected,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: Rubber Band, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_rb_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (Rubber Band, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,baseline_corrected,baseline_corrected,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: Rubber Band, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_snv_lf_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (SNV + Linear Fit, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,normalized,SNV,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: SNV + Linear Fit, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_snv_lf_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (SNV + Linear Fit, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,normalized,SNV,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: SNV + Linear Fit, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_snv_rb_fingerprint,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (SNV + Rubber Band, FingerPrint)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,baseline_corrected,baseline_corrected;SNV,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: SNV + Rubber Band, spectral range: FingerPrint. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_size_snv_rb_global,microgel_size,DG026,preprocessing+spectral_range,"Microgel Size (SNV + Rubber Band, Global)",RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,baseline_corrected,baseline_corrected;SNV,https://doi.org/10.1002/smll.202311920,https://publications.rwth-aachen.de/record/959137/files/Data_RWTH-2023-05604.zip?version=1,CC BY-NC 3.0,none,Nonlinear Manifold Learning Determines Microgel Size from Raman Spectroscopy,"Raman spectra of 235 microgel samples with DLS-measured particle diameters (208–483 nm). Pretreatment: SNV + Rubber Band, spectral range: Global. Task: predict particle diameter from Raman spectrum.",no,no,no,no,no
microgel_synthesis,microgel_synthesis,DG027,none,Microgel Synthesis Flow vs. Batch,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,cell,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.18154/RWTH-2021-09666,https://publications.rwth-aachen.de/record/834113/files/Raman_spectra_and_Indirect_Hard_Models.zip?version=1,CC BY 4.0,none,In-line Monitoring of Microgel Synthesis: Flow versus Batch Reactor,This data set contains in-line Raman spectroscopy measurements inside a customized measurement cell for monitoring in a tubular flow reactor. The setup aims at monitoring the microgel synthesis in a flow reactor while aiming at a high measu,no,no,no,no,no
succinic_acid_species,rwth_acid_species,DG035,acid_species,Succinic Concentration,RWTH,Chemical,Regression,Raman,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1177/0003702820973275 | https://publications.rwth-aachen.de/record/978266,https://publications.rwth-aachen.de/record/978266/files/Data_RWTH-2024-01177.zip,CC0 1.0,none,Inline Raman Spectroscopy and Indirect Hard Modeling for Concentration Monitoring of Dissociated Acid Species,"Raman spectra and composition data for titration experiments of various acids in aqueous solution. Includes acetic, citric, formic, itaconic, levulinic, oxalic, and succinic acids. Data for concentration monitoring and indirect hard modelin",no,no,no,no,no
adenine_colloidal_gold,adenine_sers_interlab,DG001,substrate_material,Adenine (Colloidal Gold),Zenodo,Chemical,Regression,SERS,Experimental,pure_compound,n/a,nucleotide_or_nucleobase,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.analchem.9b05658,https://doi.org/10.5281/zenodo.3572359,CC BY 4.0,none,SERS Interlaboratory Adenine Dataset (Colloidal Gold),Quantitative SERS spectra of adenine measured using colloidal gold substrates across 15 different European laboratories. Benchmarks model reproducibility and inter-instrumental variability.,no,no,no,no,no
adenine_colloidal_silver,adenine_sers_interlab,DG001,substrate_material,Adenine (Colloidal Silver),Zenodo,Chemical,Regression,SERS,Experimental,pure_compound,n/a,nucleotide_or_nucleobase,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.analchem.9b05658,https://doi.org/10.5281/zenodo.3572359,CC BY 4.0,none,SERS Interlaboratory Adenine Dataset (Colloidal Silver),Quantitative SERS spectra of adenine measured using colloidal silver substrates across 15 different European laboratories. Benchmarks model reproducibility and inter-instrumental variability.,no,no,no,no,no
adenine_solid_gold,adenine_sers_interlab,DG001,substrate_material,Adenine (Solid Gold),Zenodo,Chemical,Regression,SERS,Experimental,pure_compound,n/a,nucleotide_or_nucleobase,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.analchem.9b05658,https://doi.org/10.5281/zenodo.3572359,CC BY 4.0,none,SERS Interlaboratory Adenine Dataset (Solid Gold),Quantitative SERS spectra of adenine measured using solid gold substrates across 15 different European laboratories. Benchmarks model reproducibility and inter-instrumental variability.,no,no,no,no,no
adenine_solid_silver,adenine_sers_interlab,DG001,substrate_material,Adenine (Solid Silver),Zenodo,Chemical,Regression,SERS,Experimental,pure_compound,n/a,nucleotide_or_nucleobase,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.analchem.9b05658,https://doi.org/10.5281/zenodo.3572359,CC BY 4.0,none,SERS Interlaboratory Adenine Dataset (Solid Silver),Quantitative SERS spectra of adenine measured using solid silver substrates across 15 different European laboratories. Benchmarks model reproducibility and inter-instrumental variability.,no,no,no,no,no
hair_dyes_sers,hair_dyes_sers,DG021,none,Hair Dyes SERS,Zenodo,Chemical,Classification,SERS,Experimental,pure_compound,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.talanta.2022.123762,https://doi.org/10.5281/zen  odo.18881751,CC BY 4.0,none,SERS Spectra of Hair Dyes Dataset,"SERS spectra of commercial hair dye products acquired with a portable Raman spectrometer. Each spectrum is labelled by brand, permanence (permanent/semi-permanent/temporary), and colour. Target: brand identity (classification).",no,no,no,no,no
head_neck_cancer,head_neck_cancer,DG022,none,Head & Neck Cancer,Zenodo,Medical,Classification,Raman,Experimental,biofluid,plasma,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1038/s41598-022-22197-x,https://doi.org/10.5281/zenodo.7044324,CC BY 4.0,none,Head and Neck Cancer Raman Spectroscopy Dataset,Raman spectra of blood plasma and saliva samples from head and neck cancer patients and healthy controls. Acquired for non-invasive liquid biopsy screening. Target: cancer vs. control (binary classification).,yes,yes,no,no,no
sugar_mixtures_high_snr,sugar_mixtures,DG040,snr_level,Sugar Mixtures (High SNR),Zenodo,Chemical,Regression,Raman,Experimental,unknown,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1073/pnas.2407439121,https://doi.org/10.5281/zenodo.10779223,CC BY 4.0,none,Sugar Mixtures Raman Dataset (High SNR),"The high signal-to-noise ratio subset of the Sugar Mixtures benchmark (7,680 measurements at 0.5 s integration). Used for evaluating the noise-robustness of hyperspectral unmixing and quantification algorithms.",no,no,no,no,no
sugar_mixtures_low_snr,sugar_mixtures,DG040,snr_level,Sugar Mixtures (Low SNR),Zenodo,Chemical,Regression,Raman,Experimental,unknown,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1073/pnas.2407439121,https://doi.org/10.5281/zenodo.10779223,CC BY 4.0,none,Sugar Mixtures Raman Dataset (Low SNR),"The low signal-to-noise ratio subset of the Sugar Mixtures benchmark (7,680 measurements at 0.5 s integration). Used for evaluating the noise-robustness of hyperspectral unmixing and quantification algorithms.",no,no,no,no,no
wheat_lines,wheat_lines,DG043,none,Mutant Wheat,Zenodo,Biological,Classification,Raman,Experimental,material,wheat,protein,,unknown,unknown,unknown,unknown,,https://doi.org/10.3389/fpls.2023.1116876,https://doi.org/10.5281/zenodo.7644521,CC BY 4.0,none,Mutant Wheat Raman Dataset,Raman spectra from the 7th generation of salt-stress-tolerant wheat mutant lines and their commercial cultivars. Features 785 nm excitation and tracks biochemical shifts in carotenoids and protein-related bands for agricultural phenotyping.,no,no,no,no,no
